tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
redundant36,17,uniform_half_0,current_points,1,0,0,False,,
redundant36,17,uniform_half_0,current_points,2,0,0,False,,
redundant36,17,uniform_half_0,current_points,ge3,80450,27,True,0.9805220633934121,0.9794403884448228
redundant36,17,uniform_half_0,current_range,le20,26404,27,True,0.982995000757461,0.9824624842279501
redundant36,17,uniform_half_0,current_range,20to40,36863,27,True,0.983235222309633,0.9826881529520184
redundant36,17,uniform_half_0,current_range,gt40,17183,27,True,0.9709014723854973,0.9644950124987144
redundant36,17,uniform_half_1,retained_N,1-2,1615,27,True,0.9145510835913313,0.9059264599612342
redundant36,17,uniform_half_1,retained_N,3-4,1566,27,True,0.9278416347381865,0.9190912661381508
redundant36,17,uniform_half_1,retained_N,5-8,3392,27,True,0.9448702830188679,0.9387148203016433
redundant36,17,uniform_half_1,retained_N,9-16,37944,27,True,0.9814990512333965,0.9814249856304678
redundant36,17,uniform_half_1,retained_N,17-32,26522,27,True,0.9865394766608853,0.985454681701828
redundant36,17,uniform_half_1,retained_N,33-64,8842,23,True,0.9937796878534269,0.9875002811286528
redundant36,17,uniform_half_1,retained_N,65-511,569,14,True,1.0,1.0
redundant36,17,uniform_half_1,original_shape,compact,4336,26,True,0.9762453874538746,0.969718878110633
redundant36,17,uniform_half_1,original_shape,elongated,45116,27,True,0.9850607323344268,0.9793096517373044
redundant36,17,uniform_half_1,original_shape,intermediate,30998,27,True,0.9749983869927092,0.9747179003643971
redundant36,17,uniform_half_1,N_x_original_shape,1-2:elongated,1081,26,True,0.9185938945420906,0.9135545781687325
redundant36,17,uniform_half_1,N_x_original_shape,1-2:intermediate,484,27,True,0.9070247933884298,0.8841680361217034
redundant36,17,uniform_half_1,N_x_original_shape,1-2:compact,50,14,False,0.9,0.8927498927498927
redundant36,17,uniform_half_1,N_x_original_shape,3-4:elongated,932,27,True,0.9388412017167382,0.9287330817535815
redundant36,17,uniform_half_1,N_x_original_shape,3-4:intermediate,568,25,True,0.9190140845070423,0.912767094017094
redundant36,17,uniform_half_1,N_x_original_shape,3-4:compact,66,17,False,0.8484848484848485,0.8433048433048433
redundant36,17,uniform_half_1,N_x_original_shape,5-8:elongated,2275,26,True,0.9569230769230769,0.9490769672119166
redundant36,17,uniform_half_1,N_x_original_shape,5-8:intermediate,996,27,True,0.9236947791164659,0.9209375195838817
redundant36,17,uniform_half_1,N_x_original_shape,5-8:compact,121,18,True,0.8925619834710744,0.8924444444444444
redundant36,17,uniform_half_1,N_x_original_shape,9-16:elongated,19967,27,True,0.9830720689137076,0.9805637118725858
redundant36,17,uniform_half_1,N_x_original_shape,9-16:intermediate,15866,27,True,0.9793268624732132,0.9783549688480797
redundant36,17,uniform_half_1,N_x_original_shape,9-16:compact,2111,22,True,0.9829464708668877,0.9690329962642048
redundant36,17,uniform_half_1,N_x_original_shape,17-32:elongated,14587,26,True,0.9939672310961816,0.9893221693370837
redundant36,17,uniform_half_1,N_x_original_shape,17-32:intermediate,10253,25,True,0.9773724763483859,0.9767611151557214
redundant36,17,uniform_half_1,N_x_original_shape,17-32:compact,1682,21,True,0.9780023781212842,0.9731506851679042
redundant36,17,uniform_half_1,N_x_original_shape,33-64:elongated,5882,20,True,0.9991499489969398,0.9965466933208869
redundant36,17,uniform_half_1,N_x_original_shape,33-64:intermediate,2658,22,True,0.981941309255079,0.9784644365448303
redundant36,17,uniform_half_1,N_x_original_shape,33-64:compact,302,14,True,0.9933774834437086,0.9927000241721053
redundant36,17,uniform_half_1,N_x_original_shape,65-511:elongated,392,12,True,1.0,1.0
redundant36,17,uniform_half_1,N_x_original_shape,65-511:intermediate,173,12,True,1.0,1.0
redundant36,17,uniform_half_1,N_x_original_shape,65-511:compact,4,3,False,1.0,
redundant36,17,uniform_half_1,history,none,1846,27,True,0.9176598049837487,0.9061690743713215
redundant36,17,uniform_half_1,history,one_to_five,8062,27,True,0.9502604812701563,0.9397821129594592
redundant36,17,uniform_half_1,history,six,70542,27,True,0.985838224036744,0.98521356347736
redundant36,17,uniform_half_1,current_points,1,0,0,False,,
redundant36,17,uniform_half_1,current_points,2,0,0,False,,
redundant36,17,uniform_half_1,current_points,ge3,80450,27,True,0.9807085146053449,0.9796304407426988
redundant36,17,uniform_half_1,current_range,le20,26404,27,True,0.9830328738069989,0.9824970070438874
redundant36,17,uniform_half_1,current_range,20to40,36863,27,True,0.9835607519735236,0.9830175192414077
redundant36,17,uniform_half_1,current_range,gt40,17183,27,True,0.9710178664959553,0.9646455614591902
redundant36,17,uniform_half_2,retained_N,1-2,1615,27,True,0.9095975232198142,0.9005548582572491
redundant36,17,uniform_half_2,retained_N,3-4,1566,27,True,0.9291187739463601,0.9208192749351229
redundant36,17,uniform_half_2,retained_N,5-8,3392,27,True,0.9433962264150944,0.9370630992527171
redundant36,17,uniform_half_2,retained_N,9-16,37944,27,True,0.9814990512333965,0.9814254813632741
redundant36,17,uniform_half_2,retained_N,17-32,26522,27,True,0.9869165221325692,0.9858740276096867
redundant36,17,uniform_half_2,retained_N,33-64,8842,23,True,0.9945713639448088,0.9891086913677571
redundant36,17,uniform_half_2,retained_N,65-511,569,14,True,0.9982425307557118,0.988903406985588
redundant36,17,uniform_half_2,original_shape,compact,4336,26,True,0.9764760147601476,0.970086196167977
redundant36,17,uniform_half_2,original_shape,elongated,45116,27,True,0.9849499069066406,0.9791689686871005
redundant36,17,uniform_half_2,original_shape,intermediate,30998,27,True,0.975288728305052,0.9750026694946782
redundant36,17,uniform_half_2,N_x_original_shape,1-2:elongated,1081,26,True,0.9121184088806661,0.9067223997943614
redundant36,17,uniform_half_2,N_x_original_shape,1-2:intermediate,484,27,True,0.9049586776859504,0.881863525416534
redundant36,17,uniform_half_2,N_x_original_shape,1-2:compact,50,14,False,0.9,0.8927498927498927
redundant36,17,uniform_half_2,N_x_original_shape,3-4:elongated,932,27,True,0.9377682403433476,0.9276862157534247
