tag,seed,condition,samples,accuracy,macro_f1,recall_class0,f1_class0,precision_class0,true0_pred0,true0_pred1,recall_class1,f1_class1,precision_class1,true1_pred0,true1_pred1
support24,7,uniform_quarter_1,80450,0.9715351149782474,0.9700522011458954,0.9863161685271876,0.9633881179254332,0.9415018280678729,30129,418,0.9624872252169209,0.9767162843663576,0.9913723709467688,1872,48031
support24,7,uniform_quarter_2,80450,0.9722311995027968,0.9707865887023828,0.9874292074508135,0.9642902813299232,0.9422109767906788,30163,384,0.9629280804761237,0.9772828960748424,0.9920721762289159,1850,48053
support24,7,central_half,80450,0.9718210068365445,0.970453274164552,0.996398991717681,0.9640962290746108,0.9338221758605878,30437,110,0.9567761457227021,0.9768103192544932,0.9977014376462722,2157,47746
support24,7,xy_fraction6,80450,0.9853822249844624,0.9845606658862482,0.9938128130421973,0.9809991598267951,0.9685117243579519,30358,189,0.9802216299621265,0.9881221719457014,0.9961511047754811,987,48916
support24,7,xy_fraction4,80450,0.9852206339341206,0.9843900875215554,0.9936163944086163,0.9807894269141906,0.9682894149173739,30352,195,0.9800813578341984,0.9879907481289202,0.9960288367546432,994,48909
support24,7,kept_single,80450,0.9656929770043505,0.963953652674743,0.9823877958555668,0.9560355538564466,0.9310601594737985,30009,538,0.9554736188205117,0.9718717514930393,0.988842572429955,2222,47681
support24,7,sparse_single,97734,0.9526572124337488,0.9523591139069998,0.983593445181428,0.9561276252785285,0.9301540448298128,50419,841,0.9185350948917674,0.948590602535471,0.9806795469686875,3786,42688
support24,7,sparse_context,97734,0.9674013137700288,0.9672430200840241,0.9885095591104175,0.9695201285779886,0.9512465269955696,50671,589,0.9441192925076387,0.9649659115900594,0.9867539243466918,2597,43877
support24,17,clean,80450,0.985183343691734,0.984348899719085,0.9932562935803844,0.9807350421825,0.968525553037316,30341,206,0.9802416688375448,0.9879627572556702,0.9958064450461087,986,48917
support24,17,uniform_half_0,80450,0.980733374766936,0.9796517696769467,0.9878547811569057,0.9749604213111046,0.962398341572317,30176,371,0.9763741658818107,0.9843431180427887,0.9924432223240656,1179,48724
support24,17,uniform_half_1,80450,0.9802486016159105,0.9791307954447506,0.9860542770157462,0.9743009170157364,0.9628244470016621,30121,426,0.9766947878885037,0.9839606738737647,0.9913354757352643,1163,48740
support24,17,uniform_half_2,80450,0.9804723430702299,0.9793806975582553,0.9881166726683471,0.9746363357496892,0.9615188583078491,30184,363,0.9757930384946797,0.9841250593668213,0.9926005952138285,1208,48695
support24,17,uniform_quarter_0,80450,0.9730267246737104,0.9715859164442229,0.9847775558974695,0.9651875381011967,0.9463617202000818,30082,465,0.9658337174117788,0.9779842947872491,0.9904444855434313,1705,48198
support24,17,uniform_quarter_1,80450,0.9726911124922312,0.971238984718148,0.9849739745310505,0.9647764256970164,0.9453905611763966,30088,459,0.9651724345229745,0.9777015437392796,0.9905602171767028,1738,48165
support24,17,uniform_quarter_2,80450,0.9732504661280298,0.9718292414167642,0.985825121943235,0.9655017633857006,0.9459994345490529,30114,433,0.9655531731559225,0.9781567194478279,0.9910936503692124,1719,48184
support24,17,central_half,80450,0.973064014916097,0.9717489988053356,0.9972501391298655,0.9656538760242817,0.9359982793584465,30463,84,0.9582590225036571,0.9778441215863896,0.9982464929859719,2083,47820
