tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
no_rcs18,B,37,uniform_quarter_1,-0.026651999302259588,2895,830
no_rcs18,B,7,uniform_quarter_2,-0.027594148229702853,2989,834
no_rcs18,B,17,uniform_quarter_2,-0.029273237600418667,3003,734
no_rcs18,B,37,uniform_quarter_2,-0.027378063420106735,2874,753
no_rcs18,B,7,central_half,-0.0349535240203086,3218,470
no_rcs18,B,17,central_half,-0.027808129645407575,2807,622
no_rcs18,B,37,central_half,-0.02843331600681842,2875,640
no_rcs18,B,7,xy_fraction6,-0.018326938120834857,2128,714
no_rcs18,B,17,xy_fraction6,-0.021804812484378155,2200,538
no_rcs18,B,37,xy_fraction6,-0.01761823772200688,1997,653
no_rcs18,B,7,xy_fraction4,-0.018264421566331235,2118,709
no_rcs18,B,17,xy_fraction4,-0.021776618827679783,2205,545
no_rcs18,B,37,xy_fraction4,-0.017789547591634536,2013,656
no_rcs18,B,7,kept_single,-0.030389968724467975,3192,811
no_rcs18,B,17,kept_single,-0.031148179357067485,3197,767
no_rcs18,B,37,kept_single,-0.028875679546753963,3126,878
no_rcs18,B,7,sparse_single,-0.0037281774537856194,2900,2573
no_rcs18,B,17,sparse_single,0.0029440951446019215,2911,3236
no_rcs18,B,37,sparse_single,0.0036103299591737636,3058,3453
no_rcs18,B,7,sparse_context,-0.006468849685341449,2793,2184
no_rcs18,B,17,sparse_context,-0.009840350917922569,2822,1878
no_rcs18,B,37,sparse_context,-0.009897513262823177,2864,1915
no_rcs18,full21,7,clean,-0.01893160273838168,2003,549
no_rcs18,full21,17,clean,-0.019000060824751475,2020,574
no_rcs18,full21,37,clean,-0.017637493792813652,1903,554
no_rcs18,full21,7,uniform_half_0,-0.02340939240398543,2470,656
no_rcs18,full21,17,uniform_half_0,-0.02468948276457872,2458,558
no_rcs18,full21,37,uniform_half_0,-0.023373553153330007,2474,668
no_rcs18,full21,7,uniform_half_1,-0.02332827397401982,2503,696
no_rcs18,full21,17,uniform_half_1,-0.024797871099459634,2492,585
no_rcs18,full21,37,uniform_half_1,-0.022615644012794367,2449,702
no_rcs18,full21,7,uniform_half_2,-0.023029554788534412,2491,707
no_rcs18,full21,17,uniform_half_2,-0.02474893162454861,2468,563
no_rcs18,full21,37,uniform_half_2,-0.023300098261675783,2487,687
no_rcs18,full21,7,uniform_quarter_0,-0.024069291819095562,2733,852
no_rcs18,full21,17,uniform_quarter_0,-0.02539281217535405,2645,678
no_rcs18,full21,37,uniform_quarter_0,-0.023826247874288442,2712,856
no_rcs18,full21,7,uniform_quarter_1,-0.02500627638438957,2794,844
no_rcs18,full21,17,uniform_quarter_1,-0.02538616385660253,2634,669
no_rcs18,full21,37,uniform_quarter_1,-0.024295159841579705,2760,870
no_rcs18,full21,7,uniform_quarter_2,-0.024147589715758477,2721,836
no_rcs18,full21,17,uniform_quarter_2,-0.025841242087066396,2662,660
no_rcs18,full21,37,uniform_quarter_2,-0.024306326553071078,2697,806
no_rcs18,full21,7,central_half,-0.02864550879949468,2865,609
no_rcs18,full21,17,central_half,-0.02185712125335748,2377,658
no_rcs18,full21,37,central_half,-0.028538873683145227,2840,595
no_rcs18,full21,7,xy_fraction6,-0.019037733688654912,2016,554
no_rcs18,full21,17,xy_fraction6,-0.018833171931260106,2012,579
no_rcs18,full21,37,xy_fraction6,-0.017691221750675945,1905,552
no_rcs18,full21,7,xy_fraction4,-0.01892301404222707,2004,551
no_rcs18,full21,17,xy_fraction4,-0.01876714371054944,2012,584
no_rcs18,full21,37,xy_fraction4,-0.017690075779816627,1900,547
no_rcs18,full21,7,kept_single,-0.027471554130419573,3009,852
no_rcs18,full21,17,kept_single,-0.03013633815452421,3034,684
no_rcs18,full21,37,kept_single,-0.028033221399286545,3071,880
no_rcs18,full21,7,sparse_single,-0.010643425355815972,2057,1042
no_rcs18,full21,17,sparse_single,-0.010012035773483752,1761,800
no_rcs18,full21,37,sparse_single,-0.012385479401931354,2133,947
no_rcs18,full21,7,sparse_context,-0.012903595777486121,2167,922
no_rcs18,full21,17,sparse_context,-0.011727777808574036,1992,855
no_rcs18,full21,37,sparse_context,-0.01350388378071865,2355,1049
less_shape16,A,7,clean,0.0009768459031052057,393,467
less_shape16,A,17,clean,-0.0012634600526900686,541,442
less_shape16,A,37,clean,0.0019564775029623505,421,574
less_shape16,A,7,uniform_half_0,0.001924622634430606,521,664
less_shape16,A,17,uniform_half_0,0.002064709958286337,626,776
less_shape16,A,37,uniform_half_0,0.003798924174778895,529,822
less_shape16,A,7,uniform_half_1,0.0030802522076056604,535,765
less_shape16,A,17,uniform_half_1,0.0017893151695169696,646,775
less_shape16,A,37,uniform_half_1,0.0050715641222585095,480,870
less_shape16,A,7,uniform_half_2,0.001672425497327712,548,671
less_shape16,A,17,uniform_half_2,0.0014068091711378905,651,751
less_shape16,A,37,uniform_half_2,0.004039594567035065,516,827
less_shape16,A,7,uniform_quarter_0,0.010227499135951335,697,1464
less_shape16,A,17,uniform_quarter_0,0.011738744725586336,770,1642
less_shape16,A,37,uniform_quarter_0,0.014601168640130502,551,1658
less_shape16,A,7,uniform_quarter_1,0.008909654757585761,709,1375
less_shape16,A,17,uniform_quarter_1,0.011951201555348234,803,1690
less_shape16,A,37,uniform_quarter_1,0.014921770484843666,547,1678
less_shape16,A,7,uniform_quarter_2,0.008899157032454474,703,1368
less_shape16,A,17,uniform_quarter_2,0.011024625247480269,839,1654
less_shape16,A,37,uniform_quarter_2,0.014698119608127502,569,1683
less_shape16,A,7,central_half,0.011595944500888855,446,1353
less_shape16,A,17,central_half,0.011042263296251131,577,1439
less_shape16,A,37,central_half,0.016778031794825066,350,1664
less_shape16,A,7,xy_fraction6,0.0010151836668469416,393,470
less_shape16,A,17,xy_fraction6,-0.0012635323761033268,538,439
less_shape16,A,37,xy_fraction6,0.001982988936912067,414,569
less_shape16,A,7,xy_fraction4,0.0008596831775458114,403,468
less_shape16,A,17,xy_fraction4,-0.0013437207853039812,546,441
less_shape16,A,37,xy_fraction4,0.0018507910324838672,426,571
less_shape16,A,7,kept_single,0.011135089189636571,895,1721
less_shape16,A,17,kept_single,0.013215805861197971,993,1963
less_shape16,A,37,kept_single,0.01642153087101761,671,1896
less_shape16,A,7,sparse_single,0.037404717413643485,1027,4650
less_shape16,A,17,sparse_single,0.04126250267183906,955,4942
less_shape16,A,37,sparse_single,0.05741816634435415,795,6328
less_shape16,A,7,sparse_context,0.014955027438570911,880,2333
less_shape16,A,17,sparse_context,0.02305288192740762,807,3048
less_shape16,A,37,sparse_context,0.027056523045569936,732,3350
less_shape16,B,7,clean,0.0013374913293043855,425,520
less_shape16,B,17,clean,-0.0020817981366647587,442,281
less_shape16,B,37,clean,0.0014226294420531804,295,405
less_shape16,B,7,uniform_half_0,0.001296448593893329,576,664
less_shape16,B,17,uniform_half_0,-0.0017834576241767541,547,406
less_shape16,B,37,uniform_half_0,0.0003203857151024003,438,465
less_shape16,B,7,uniform_half_1,0.0012990021416212638,579,667
less_shape16,B,17,uniform_half_1,-0.0012104449941358064,523,426
less_shape16,B,37,uniform_half_1,0.001359324966904718,393,499
less_shape16,B,7,uniform_half_2,0.0007839731406993344,604,653
less_shape16,B,17,uniform_half_2,-0.0015864798340199382,550,424
less_shape16,B,37,uniform_half_2,0.0009160623834619797,398,470
less_shape16,B,7,uniform_quarter_0,-0.0008303616049788465,738,663
less_shape16,B,17,uniform_quarter_0,-0.0027615479851081925,695,478
less_shape16,B,37,uniform_quarter_0,-5.257510692358025e-05,588,589
less_shape16,B,7,uniform_quarter_1,-0.0012847310713295368,744,634
less_shape16,B,17,uniform_quarter_1,-0.0030879096910436665,681,439
less_shape16,B,37,uniform_quarter_1,0.0004494215763117815,536,574
less_shape16,B,7,uniform_quarter_2,-0.0015431716987730493,772,642
less_shape16,B,17,uniform_quarter_2,-0.0032593582292964607,726,471
less_shape16,B,37,uniform_quarter_2,-0.0005588579341053723,591,553
less_shape16,B,7,central_half,-0.008322995171632819,903,252
less_shape16,B,17,central_half,-0.004444763253700246,690,342
less_shape16,B,37,central_half,0.00018138661570410441,427,442
less_shape16,B,7,xy_fraction6,0.0014173903784970854,426,527
less_shape16,B,17,xy_fraction6,-0.002016425956500645,437,281
less_shape16,B,37,xy_fraction6,0.001304847110169205,297,398
less_shape16,B,7,xy_fraction4,0.0013388769376930787,429,524
less_shape16,B,17,xy_fraction4,-0.002160726994996809,449,282
less_shape16,B,37,xy_fraction4,0.0012387758994460984,300,396
less_shape16,B,7,kept_single,-0.002986720523737718,789,554
less_shape16,B,17,kept_single,-0.0015315905857462564,686,564
less_shape16,B,37,kept_single,0.0010788780220264416,538,626
less_shape16,B,7,sparse_single,0.00793997893993581,1261,2050
less_shape16,B,17,sparse_single,0.014167636346718915,1338,2739
less_shape16,B,37,sparse_single,0.016596462485043872,1230,2868
less_shape16,B,7,sparse_context,0.007108132338724982,1063,1766
less_shape16,B,17,sparse_context,0.00393102892317887,1017,1408
less_shape16,B,37,sparse_context,0.0047109241313241235,834,1298
less_shape16,full21,7,clean,0.0007063488926731809,291,344
less_shape16,full21,17,clean,0.0008892138177871711,271,339
less_shape16,full21,37,clean,0.0012968847652357063,288,385
less_shape16,full21,7,uniform_half_0,0.0017904926253338171,360,494
less_shape16,full21,17,uniform_half_0,0.00018990407361185735,354,368
less_shape16,full21,37,uniform_half_0,0.0013974663645989205,351,457
less_shape16,full21,7,uniform_half_1,0.0018913743502424474,352,494
less_shape16,full21,17,uniform_half_1,0.0002928841147576966,359,381
less_shape16,full21,37,uniform_half_1,0.0018351710345594352,314,453
less_shape16,full21,7,uniform_half_2,0.001849698055690574,344,483
less_shape16,full21,17,uniform_half_2,3.386868621180206e-05,363,365
less_shape16,full21,37,uniform_half_2,0.001520622460278398,328,443
less_shape16,full21,7,uniform_quarter_0,0.0021696945196399975,422,583
less_shape16,full21,17,uniform_quarter_0,-0.00023313327750318358,456,437
less_shape16,full21,37,uniform_quarter_0,0.002248281921865436,419,590
less_shape16,full21,7,uniform_quarter_1,0.0018336016798460308,458,593
less_shape16,full21,17,uniform_quarter_1,0.0002812108752539011,453,474
less_shape16,full21,37,uniform_quarter_1,0.002806261036991664,425,638
less_shape16,full21,7,uniform_quarter_2,0.0019033868151713262,460,600
less_shape16,full21,17,uniform_quarter_2,0.00017263728405580991,458,470
less_shape16,full21,37,uniform_quarter_2,0.0025128789329302847,388,580
less_shape16,full21,7,central_half,-0.002014979950818896,545,386
less_shape16,full21,17,central_half,0.0015062451383498487,371,489
less_shape16,full21,37,central_half,7.582893937729818e-05,404,409
less_shape16,full21,7,xy_fraction6,0.0007065948106770303,289,342
less_shape16,full21,17,xy_fraction6,0.0009552145966174042,270,343
less_shape16,full21,37,xy_fraction6,0.0012318630815001397,289,381
less_shape16,full21,7,xy_fraction4,0.0006802844617972426,294,345
