tag,reference,condition,seed,delta,low,high
mean_natural,B,uniform_half_1,mean3,0.0005901875352681829,-0.0028729608265799047,0.0036234289190435177
mean_natural,B,uniform_half_2,7,0.001101656135708895,-0.005269872866520383,0.006533031622116205
mean_natural,B,uniform_half_2,17,-0.0010128651892813423,-0.005152802433982287,0.001807578012955231
mean_natural,B,uniform_half_2,37,0.00012123399395103096,-0.001450134085666513,0.0015778555168544871
mean_natural,B,uniform_half_2,mean3,7.000831345952789e-05,-0.003683378367283498,0.002968526346836361
mean_natural,B,uniform_quarter_0,7,-0.0006212971323784622,-0.0061055976063769946,0.003459722900343493
mean_natural,B,uniform_quarter_0,17,-0.0009452592650776026,-0.004304272730329439,0.0016946502114043374
mean_natural,B,uniform_quarter_0,37,-0.0012043356992030851,-0.0026989631425779286,0.00014519993120544955
mean_natural,B,uniform_quarter_0,mean3,-0.0009236306988863833,-0.004188267219010449,0.0015539334622662623
mean_natural,B,uniform_quarter_1,7,-0.001694298564613117,-0.007585996775154488,0.0024904018043137017
mean_natural,B,uniform_quarter_1,17,-0.0011654877085999216,-0.0051324375994049485,0.0019250939904554717
mean_natural,B,uniform_quarter_1,37,-0.0011864939507491012,-0.0032663103553186162,0.0006950957600959601
mean_natural,B,uniform_quarter_1,mean3,-0.0013487600746540467,-0.005108295492240073,0.001508920525916073
mean_natural,B,uniform_quarter_2,7,-0.001302159190894825,-0.0077233887867551865,0.003050518672023584
mean_natural,B,uniform_quarter_2,17,-0.0016500857509955669,-0.0058013369441693,0.0013534161440912924
mean_natural,B,uniform_quarter_2,37,-0.002026191086062612,-0.004215131919091608,-0.0007511457699461934
mean_natural,B,uniform_quarter_2,mean3,-0.0016594786759843345,-0.005759639322620615,0.0010153972027254696
mean_natural,B,central_half,7,-0.0043597061697493444,-0.010076487149643367,-0.0013300115804188147
mean_natural,B,central_half,17,-0.0032154820519832983,-0.007572534769141761,-0.0005985366138959661
mean_natural,B,central_half,37,-0.001878025466051314,-0.0037674685722323574,-0.0006582228819640554
mean_natural,B,central_half,mean3,-0.0031510712292613188,-0.006898895564947095,-0.0011050998163289253
mean_natural,B,xy_fraction6,7,0.002517731427739145,-0.002618332585581154,0.007211260379657782
mean_natural,B,xy_fraction6,17,0.00014510001952550144,-0.002572699200481976,0.0022770895590828785
mean_natural,B,xy_fraction6,37,0.0009899680525492505,-0.00018548924419136136,0.0026284065994083526
mean_natural,B,xy_fraction6,mean3,0.001217599833271299,-0.0011968535780793653,0.0033026908431598397
mean_natural,B,xy_fraction4,7,0.002320870847368983,-0.0029999807768655655,0.006954879672211434
mean_natural,B,xy_fraction4,17,0.0001332405544626214,-0.00263999723813895,0.0022749492461326356
mean_natural,B,xy_fraction4,37,0.0008583023063646333,-0.00041925875193827845,0.0024902346260534027
mean_natural,B,xy_fraction4,mean3,0.0011041379027320792,-0.0013611413246695033,0.0031832800000081533
mean_natural,B,kept_single,7,-0.0031102798129545306,-0.00703387729544912,-0.00024117026200008745
mean_natural,B,kept_single,17,1.536260546641799e-05,-0.0022894133705083112,0.0027069821113899664
mean_natural,B,kept_single,37,0.00010653287762130148,-0.001629376964940163,0.0027204108209602776
mean_natural,B,kept_single,mean3,-0.0009961281099556036,-0.0029518490174168864,0.0012079813300903196
mean_natural,B,sparse_single,7,0.009228064207825848,-0.0013671534622584052,0.02759094404825455
mean_natural,B,sparse_single,17,0.011861741465192255,-0.0028629684551440605,0.03553536527462346
mean_natural,B,sparse_single,37,0.016633109596365103,0.0010924033766027354,0.04459685341408232
mean_natural,B,sparse_single,mean3,0.012574305089794402,-0.0008222495218193931,0.03556405689753305
mean_natural,B,sparse_context,7,0.007859714645575,-0.0015271484105597033,0.02358214324130641
mean_natural,B,sparse_context,17,0.004373779585365556,-0.004167796384560732,0.01700096887977057
mean_natural,B,sparse_context,37,0.004263394156839739,-0.002025340622313168,0.01465134431903435
mean_natural,B,sparse_context,mean3,0.005498962795926765,-0.002280546807683564,0.018539924902890838
mean_natural,B,composite,7,0.0028050201313641887,-0.0035962547781370506,0.011464103830632538
mean_natural,B,composite,17,0.0023746110185397518,-0.0036595984704979765,0.010447981217709203
mean_natural,B,composite,37,0.0037124286417127283,-0.0008834295756911026,0.011218476694026192
mean_natural,B,composite,mean3,0.0029640199305388895,-0.002523105652087376,0.011186070031416981
proxy_natural,proxy_synthetic,clean,7,8.473632161831723e-06,-0.0015313422834034307,0.001919259394951687
proxy_natural,proxy_synthetic,clean,17,-0.0019962034508981263,-0.004069210314319177,-0.0008282362777956998
proxy_natural,proxy_synthetic,clean,37,-0.0008326588388509748,-0.003406875231399076,0.0017919304067928938
proxy_natural,proxy_synthetic,clean,mean3,-0.0009401295525290898,-0.0021253161525047683,8.474436005050861e-05
proxy_natural,proxy_synthetic,uniform_half_0,7,-0.0014582156277256342,-0.0038087159886783157,0.0007574827850946762
proxy_natural,proxy_synthetic,uniform_half_0,17,-0.0020384454523729723,-0.004385538624513149,-0.0007066599209820452
proxy_natural,proxy_synthetic,uniform_half_0,37,-0.0013432100823973503,-0.002958288956721758,1.5103905921986987e-05
proxy_natural,proxy_synthetic,uniform_half_0,mean3,-0.0016132903874986522,-0.002591994488639456,-0.0008978821401381833
proxy_natural,proxy_synthetic,uniform_half_1,7,-0.001360537112893967,-0.0030486140711353193,0.0004293219110208315
proxy_natural,proxy_synthetic,uniform_half_1,17,-0.0020506380350584497,-0.00448677178142684,-0.0006056018177302254
proxy_natural,proxy_synthetic,uniform_half_1,37,-0.00154315330882282,-0.003375256459199033,7.482122812014487e-05
proxy_natural,proxy_synthetic,uniform_half_1,mean3,-0.001651442818925079,-0.0026501368048230693,-0.000893413606137924
proxy_natural,proxy_synthetic,uniform_half_2,7,-0.0016030968828688597,-0.0033895740133357112,-0.0001628113125071525
proxy_natural,proxy_synthetic,uniform_half_2,17,-0.0017911121950870967,-0.0040084005009985045,-0.00042970870570809586
proxy_natural,proxy_synthetic,uniform_half_2,37,-0.0012384774518436892,-0.0030688150497255318,0.00021869898454619744
proxy_natural,proxy_synthetic,uniform_half_2,mean3,-0.0015442288432665485,-0.002592063877460407,-0.0008126601959874452
proxy_natural,proxy_synthetic,uniform_quarter_0,7,-0.0013148078861051626,-0.003840511482500572,0.0010507764010110378
proxy_natural,proxy_synthetic,uniform_quarter_0,17,-0.0015253549145634038,-0.004305159189870492,0.0003834742211875171
proxy_natural,proxy_synthetic,uniform_quarter_0,37,-0.002145625646647442,-0.004178263845724001,-0.0010597883342721966
proxy_natural,proxy_synthetic,uniform_quarter_0,mean3,-0.0016619294824386694,-0.0027255831439470576,-0.001062636552698491
proxy_natural,proxy_synthetic,uniform_quarter_1,7,-0.0016966092916128606,-0.003898959159527504,0.0003252471288620776
proxy_natural,proxy_synthetic,uniform_quarter_1,17,-0.002377939256249628,-0.005965613193299133,-6.621156969731677e-05
proxy_natural,proxy_synthetic,uniform_quarter_1,37,-0.002366750985171917,-0.004572113648948955,-0.0010988842118717895
proxy_natural,proxy_synthetic,uniform_quarter_1,mean3,-0.002147099844344802,-0.003521459168438997,-0.0014972890717195784
proxy_natural,proxy_synthetic,uniform_quarter_2,7,-0.0017014808159611094,-0.0038691647451067567,0.0004391902644301511
proxy_natural,proxy_synthetic,uniform_quarter_2,17,-0.0026201157268646025,-0.0060057196479411604,-0.00038387600772291514
proxy_natural,proxy_synthetic,uniform_quarter_2,37,-0.002173677430123533,-0.004760990592434308,-0.0008042040514901405
proxy_natural,proxy_synthetic,uniform_quarter_2,mean3,-0.002165091324316415,-0.0035447954450308944,-0.0015871545795285347
proxy_natural,proxy_synthetic,central_half,7,0.0022512366596130207,0.00039168006558671644,0.005215288527623241
proxy_natural,proxy_synthetic,central_half,17,-0.0029379646660222525,-0.006146826134293548,-0.0008168757063711259
proxy_natural,proxy_synthetic,central_half,37,-7.199917284073099e-05,-0.001791769080853578,0.0014553027153910052
proxy_natural,proxy_synthetic,central_half,mean3,-0.0002529090597499876,-0.0013157906240498702,0.0008984984185347509
proxy_natural,proxy_synthetic,xy_fraction6,7,7.3526949273095e-05,-0.0014332756018871685,0.002004747416288703
proxy_natural,proxy_synthetic,xy_fraction6,17,-0.0020357241293326167,-0.004172713459959049,-0.0008429825073772717
proxy_natural,proxy_synthetic,xy_fraction6,37,-0.0007939733904420709,-0.0034182876294417434,0.0018439200955340752
proxy_natural,proxy_synthetic,xy_fraction6,mean3,-0.0009187235235005309,-0.002088163648518073,0.00012661591547714107
proxy_natural,proxy_synthetic,xy_fraction4,7,0.00015256623083237386,-0.0012447194835116526,0.0020517452045562645
proxy_natural,proxy_synthetic,xy_fraction4,17,-0.0019294931769198165,-0.003907695698373495,-0.0007031195495794095
proxy_natural,proxy_synthetic,xy_fraction4,37,-0.0009008109601722492,-0.0035807283784731444,0.0018323383535826655
proxy_natural,proxy_synthetic,xy_fraction4,mean3,-0.0008925793020865639,-0.0020844977554789084,0.00020771961557127406
proxy_natural,proxy_synthetic,kept_single,7,0.0004105832098857398,-0.0022672570732163973,0.003837533965319538
proxy_natural,proxy_synthetic,kept_single,17,-0.00048679047972632894,-0.0034225888646043563,0.001836417053329159
proxy_natural,proxy_synthetic,kept_single,37,-0.001443853226692493,-0.0027550727906717363,-0.0005153197826893443
proxy_natural,proxy_synthetic,kept_single,mean3,-0.0005066868321776941,-0.0013996523040316494,0.00034121202623630656
proxy_natural,proxy_synthetic,sparse_single,7,0.0038360719243836217,-0.0017357344362610076,0.013806895931303236
proxy_natural,proxy_synthetic,sparse_single,17,0.009354736944054975,-0.0037488252074441312,0.03040796715218087
proxy_natural,proxy_synthetic,sparse_single,37,0.018634361172047198,0.004172906770251297,0.046056864413105726
proxy_natural,proxy_synthetic,sparse_single,mean3,0.010608390013495264,-0.000188757474302877,0.02975967841982901
proxy_natural,proxy_synthetic,sparse_context,7,0.0009754172604077294,-0.002018944685893692,0.004911547585970999
proxy_natural,proxy_synthetic,sparse_context,17,-0.00014936244870322746,-0.0068793886398239995,0.008962722464751091
proxy_natural,proxy_synthetic,sparse_context,37,0.0038866948447031646,-0.0011163667931843313,0.011778489859496323
proxy_natural,proxy_synthetic,sparse_context,mean3,0.0015709165521358888,-0.003054469490154764,0.008200577727505461
proxy_natural,proxy_synthetic,composite,7,0.0011000466957344912,-0.00011428648053418698,0.0033650590919964128
proxy_natural,proxy_synthetic,composite,17,0.0004193472825078093,-0.0045137438521554935,0.007066930622417782
proxy_natural,proxy_synthetic,composite,37,0.003877542663548783,0.00018677354821929618,0.01016383734044456
proxy_natural,proxy_synthetic,composite,mean3,0.001798978880597028,-0.0013501213669346525,0.006741226263084054
mean_natural,mean_synthetic,clean,7,-0.0005530284431092269,-0.0030957002299860175,0.0011516454471423687
