tag,seed,condition,samples,accuracy,macro_f1,class0_f1,class1_f1,class0_recall,class1_recall,true0_pred0,true0_pred1,true1_pred0,true1_pred1
proxy_synthetic,37,sparse_context,97734,0.9613031289008943,0.9612075201199943,0.9631333710252861,0.9592816692147025,0.9637534139680063,0.958600507810819,49402,1858,1924,44550
proxy_natural,7,clean,80450,0.9815413300186451,0.9804881274012679,0.9759549215498956,0.9850213332526402,0.986578060038629,0.9784582089253151,30137,410,1075,48828
proxy_natural,7,uniform_half_0,80450,0.9768303293971411,0.9755299082864328,0.9698888601705867,0.9811709564022789,0.9827478966837987,0.9732080235657175,30020,527,1337,48566
proxy_natural,7,uniform_half_1,80450,0.9764698570540709,0.975153862089972,0.9694356987163962,0.9808720254635477,0.9827806331227289,0.9726068573031681,30021,526,1367,48536
proxy_natural,7,uniform_half_2,80450,0.9761839651957738,0.9748594133144641,0.9690887971089314,0.9806300295199968,0.9832062068288212,0.971885457788109,30034,513,1403,48500
proxy_natural,7,uniform_quarter_0,80450,0.9686264760720945,0.9669204544447474,0.9594081698295271,0.9744327390599676,0.9764625004092055,0.9638298298699477,29828,719,1805,48098
proxy_natural,7,uniform_quarter_1,80450,0.9696954630205097,0.9680449064182893,0.9607824212592092,0.9753073915773695,0.9776410122106918,0.9648317736408633,29864,683,1755,48148
proxy_natural,7,uniform_quarter_2,80450,0.9688875077688005,0.9671989982302239,0.9597569014582696,0.9746410950021782,0.9770844927488788,0.9638699076207843,29847,700,1803,48100
proxy_natural,7,central_half,80450,0.9678682411435674,0.9663551121461675,0.9592200539525785,0.9734901703397565,0.9952532163551249,0.9511051439793199,30402,145,2440,47463
proxy_natural,7,xy_fraction6,80450,0.9815537600994406,0.980500671380838,0.9759691679891181,0.9850321747725577,0.9865125871607686,0.97851832555157,30135,412,1072,48831
proxy_natural,7,xy_fraction4,80450,0.9815910503418273,0.9805406846338571,0.9760196894379767,0.9850616798297375,0.9866435329164893,0.9784982866761517,30139,408,1073,48830
proxy_natural,7,kept_single,80450,0.9676942200124301,0.9659723806083507,0.9583179638509775,0.973626797365724,0.978066585916784,0.9613450093180771,29877,670,1929,47974
proxy_natural,7,sparse_single,97734,0.9539361941596578,0.9536759090119588,0.9571482962116885,0.950203521812229,0.9808622707764338,0.924237207901192,50279,981,3521,42953
proxy_natural,7,sparse_context,97734,0.9650172918329343,0.9648621093664825,0.9671972291780598,0.9625269895549052,0.9833203277409286,0.9448293669578689,50405,855,2564,43910
proxy_natural,17,clean,80450,0.9805842137973897,0.9794979551628623,0.9747787896402506,0.9842171206854741,0.9881494091072773,0.9759533494980261,30185,362,1200,48703
proxy_natural,17,uniform_half_0,80450,0.9775761342448726,0.9763562118509692,0.9709855892949047,0.9817268344070338,0.9881821455462075,0.9710839027713765,30186,361,1443,48460
proxy_natural,17,uniform_half_1,80450,0.9771783716594158,0.9759353766136092,0.9704661712189943,0.9814045820082241,0.9874946803286738,0.9708634751417751,30165,382,1454,48449
proxy_natural,17,uniform_half_2,80450,0.9773275326289621,0.9760957929799807,0.9706695825561201,0.9815220034038414,0.9880511997904868,0.9707632807646834,30182,365,1459,48444
proxy_natural,17,uniform_quarter_0,80450,0.9700062150403977,0.9684530019501856,0.9614530583555648,0.9754529455448062,0.9851376567257014,0.9607438430555277,30093,454,1959,47944
proxy_natural,17,uniform_quarter_1,80450,0.9702423865755128,0.968700495405818,0.9617535227018564,0.9756474681097796,0.9853668117982126,0.9609843095605475,30100,447,1947,47956
proxy_natural,17,uniform_quarter_2,80450,0.9696457426973275,0.9680788593995714,0.9610066106728835,0.9751511081262593,0.9851049202867712,0.960182754543815,30092,455,1987,47916
proxy_natural,17,central_half,80450,0.9644126786824114,0.9628187631326987,0.9551204677629207,0.9705170585024766,0.9973156120077258,0.9442718874616757,30465,82,2781,47122
proxy_natural,17,xy_fraction6,80450,0.9805593536357986,0.9794714560457126,0.9747456806071371,0.9841972314842882,0.9880839362294169,0.9759533494980261,30183,364,1200,48703
proxy_natural,17,xy_fraction4,80450,0.9805966438781852,0.9795114520456663,0.9747961572616453,0.9842267468296872,0.9882148819851376,0.9759333106226079,30187,360,1201,48702
proxy_natural,17,kept_single,80450,0.9673213175885643,0.9656812454578212,0.958178896966419,0.9731835939492233,0.9859233312600255,0.955934512955133,30117,430,2199,47704
proxy_natural,17,sparse_single,97734,0.9547956698794687,0.9544930460925292,0.9582040414743056,0.9507820507107526,0.9879633242294187,0.9182123337780265,50643,617,3801,42673
proxy_natural,17,sparse_context,97734,0.9648126547567888,0.964631686832832,0.9671616137502984,0.9621017599153654,0.9879633242294187,0.9392778758015234,50643,617,2822,43652
proxy_natural,37,clean,80450,0.9824611559975139,0.9814150271423787,0.9770056874663885,0.985824366818369,0.9813074933708711,0.9831673446486183,29976,571,840,49063
proxy_natural,37,uniform_half_0,80450,0.9784462399005593,0.9771829327526372,0.971814044213264,0.9825518212920105,0.9785903689396668,0.9783580145482236,29893,654,1080,48823
proxy_natural,37,uniform_half_1,80450,0.9780484773151026,0.976759840993197,0.9712873540792768,0.9822323279071171,0.9778374308442728,0.9781776646694588,29870,677,1089,48814
proxy_natural,37,uniform_half_2,80450,0.9783343691733997,0.9770669182027474,0.9716755772949608,0.9824582591105341,0.9787213146953875,0.9780975091677855,29897,650,1093,48810
proxy_natural,37,uniform_quarter_0,80450,0.969608452454941,0.9678923817284888,0.9604695154484163,0.9753152480085614,0.9723704455429338,0.9679177604552832,29703,844,1601,48302
proxy_natural,37,uniform_quarter_1,80450,0.9703418272218769,0.968663549795806,0.9614115668262389,0.9759155327653732,0.9730251743215373,0.9686992765965974,29723,824,1562,48341
proxy_natural,37,uniform_quarter_2,80450,0.9699440646364201,0.9682598335208892,0.9609483510449304,0.9755713159968479,0.9739090581726519,0.967516982946917,29750,797,1621,48282
proxy_natural,37,central_half,80450,0.9704039776258546,0.9689531544150453,0.9622417101444679,0.9756645986856226,0.993190820702524,0.9564555237160091,30339,208,2173,47730
proxy_natural,37,xy_fraction6,80450,0.9824735860783095,0.9814278503803284,0.9770208604954368,0.9858348402652201,0.981274756931941,0.9832074223994549,29975,572,838,49065
proxy_natural,37,xy_fraction4,80450,0.9823368551895587,0.9812816737979786,0.9768374382630524,0.9857259093329047,0.9809146561037091,0.9832074223994549,29964,583,838,49065
proxy_natural,37,kept_single,80450,0.9672715972653823,0.9654937485649118,0.957661322741964,0.9733261743878595,0.9748256784626969,0.9626475362202673,29778,769,1864,48039
proxy_natural,37,sparse_single,97734,0.9546626557799742,0.9544037250960915,0.9578397510918277,0.9509676991003552,0.9819352321498245,0.9245814864225158,50334,926,3505,42969
proxy_natural,37,sparse_context,97734,0.965232160762887,0.9650942149646975,0.9672885500298427,0.9628998798995524,0.9801014436207569,0.9488316047682576,50240,1020,2378,44096
mean_synthetic,7,clean,80450,0.9838533250466128,0.9829129596768764,0.9789044610812478,0.9869214582725049,0.9866435329164893,0.9821453620022844,30139,408,891,49012
mean_synthetic,7,uniform_half_0,80450,0.979975139838409,0.9788060337162766,0.9738282836487694,0.9837837837837838,0.9811765476151504,0.9792397250666293,29972,575,1036,48867
mean_synthetic,7,uniform_half_1,80450,0.9791920447482909,0.9779710861519453,0.9727849130222728,0.9831572592816179,0.9794087799129211,0.9790593751878645,29918,629,1045,48858
mean_synthetic,7,uniform_half_2,80450,0.9801988812927284,0.9790392082409562,0.9741089277878004,0.983969488694112,0.9810128654204996,0.9797006192012504,29967,580,1013,48890
mean_synthetic,7,uniform_quarter_0,80450,0.9711870727159726,0.9695141145132415,0.9623725732095318,0.9766556558169514,0.9704062592071234,0.9716650301585075,29643,904,1414,48489
mean_synthetic,7,uniform_quarter_1,80450,0.9719328775637042,0.970289281333766,0.9633012612144064,0.9772773014531256,0.970144367695682,0.9730276736869526,29635,912,1346,48557
mean_synthetic,7,uniform_quarter_2,80450,0.9711497824735861,0.969472589346282,0.9623171464289774,0.9766280322635866,0.9701771041346122,0.9717451856601808,29636,911,1410,48493
mean_synthetic,7,central_half,80450,0.9713113735239279,0.9699038437544543,0.9633952927742181,0.9764123947346905,0.9942711231872197,0.9572570787327416,30372,175,2133,47770
mean_synthetic,7,xy_fraction6,80450,0.9838408949658173,0.9828994890400353,0.9788871926462468,0.986911785433824,0.986578060038629,0.9821654008777028,30137,410,890,49013
mean_synthetic,7,xy_fraction4,80450,0.9838657551274084,0.9829260082947002,0.9789203585812655,0.986931658008135,0.9866435329164893,0.9821654008777028,30139,408,890,49013
mean_synthetic,7,kept_single,80450,0.966911124922312,0.9650023817537772,0.9568291654503585,0.9731755980571958,0.9657249484401087,0.9676372161994269,29500,1047,1615,48288
mean_synthetic,7,sparse_single,97734,0.9473980395768106,0.9472662970292304,0.9499020649197517,0.944630529138709,0.9508193523214983,0.9436243921332358,48739,2521,2620,43854
mean_synthetic,7,sparse_context,97734,0.9652219289090798,0.9651166567422724,0.967032967032967,0.9632003464515779,0.9725321888412017,0.9571588415027757,49852,1408,1991,44483
mean_synthetic,17,clean,80450,0.9837663144810441,0.9828330287045024,0.9788303183557026,0.9868357390533021,0.9884113006187187,0.9809229906017675,30193,354,952,48951
mean_synthetic,17,uniform_half_0,80450,0.980261031696706,0.9791506369805771,0.9743390860319308,0.9839621879292235,0.9869381608668609,0.9761737771276277,30148,399,1189,48714
mean_synthetic,17,uniform_half_1,80450,0.9799005593536358,0.9787640887045448,0.9738514529665745,0.9836767244425152,0.9857269126264445,0.9763340881309741,30111,436,1181,48722
mean_synthetic,17,uniform_half_2,80450,0.980049720323182,0.978926288892459,0.9740606060606061,0.9837919717243121,0.9865125871607686,0.9760936216259544,30135,412,1193,48710
mean_synthetic,17,uniform_quarter_0,80450,0.972566811684276,0.9710776380642708,0.9645148323820243,0.9776404437465174,0.9818967492716142,0.9668557000581127,29994,553,1654,48249
mean_synthetic,17,uniform_quarter_1,80450,0.9737476693598508,0.9723105515882954,0.9660023824088084,0.9786187207677823,0.9822568500998461,0.9685389655932509,30005,542,1570,48333
mean_synthetic,17,uniform_quarter_2,80450,0.9727035425730267,0.971229140178828,0.9647160898486455,0.9777421905090106,0.9827806331227289,0.9665350780514198,30021,526,1670,48233
mean_synthetic,17,central_half,80450,0.9681789931634556,0.9666828879873446,0.9596227248351787,0.9737430511395105,0.9958752086947982,0.9512253772318298,30421,126,2434,47469
